iter	Passed	Remaining
689	26487	31094
690	26529	31059
691	26565	31019
692	26603	30979
693	26639	30938
694	26677	30900
695	26717	30863
696	26753	30822
697	26790	30781
698	26830	30745
699	26864	30702
700	26902	30663
701	26938	30622
702	26974	30581
703	27009	30539
704	27045	30498
705	27078	30453
706	27115	30413
707	27150	30371
708	27185	30329
709	27219	30286
710	27253	30243
711	27289	30202
712	27328	30164
713	27364	30123
714	27399	30081
715	27435	30041
716	27470	29998
717	27510	29962
718	27546	29921
719	27587	29886
720	27628	29851
721	27667	29813
722	27703	29772
723	27740	29732
724	27784	29700
725	27819	29659
726	27854	29616
727	27889	29574
728	27925	29534
729	27960	29492
730	27998	29453
731	28036	29415
732	28076	29379
733	28111	29336
734	28146	29295
735	28185	29257
736	28226	29222
737	28281	29201
738	28324	29167
739	28358	29125
740	28393	29083
741	28428	29041
742	28463	28999
743	28506	28966
744	28551	28935
745	28603	28910
746	28655	28885
747	28696	28850
748	28736	28813
749	28774	28774
750	28817	28740
751	28852	28698
752	28887	28657
753	28924	28617
754	28961	28578
755	29000	28539
756	29036	28499
757	29077	28463
758	29114	28424
759	29153	28386
760	29189	28345
761	29226	28306
762	29263	28266
763	29300	28226
764	29335	28185
765	29373	28146
766	29405	28102
767	29441	28061
768	29481	28024
769	29516	27983
770	29553	27943
771	29591	27905
772	29627	27864
773	29667	27827
774	29703	27787
775	29739	27746
776	29779	27710
777	29816	27670
778	29855	27632
779	29890	27591
780	29924	27548
781	29959	27507
782	29995	27467
783	30031	27426
784	30066	27385
785	30101	27344
786	30136	27303
787	30173	27263
788	30207	27220
789	30241	27179
790	30275	27137
791	30315	27100
792	30348	27056
793	30381	27014
794	30416	26972
795	30452	26932
796	30484	26889
797	30521	26849
798	30556	26808
799	30597	26772
800	30634	26733
801	30673	26695
802	30708	26655
803	30742	26612
804	30781	26575
805	30822	26539
806	30860	26501
807	30900	26464
808	30936	26423
809	30974	26385
810	31011	26346
811	31045	26304
812	31080	26263
813	31118	26225
814	31152	26183
815	31186	26141
816	31223	26102
817	31258	26061
818	31292	26020
819	31327	25978
820	31362	25938
821	31404	25902
822	31440	25862
823	31472	25819
824	31506	25778
825	31542	25737
826	31577	25697
827	31612	25656
828	31648	25616
829	31685	25577
830	31723	25538
831	31758	25498
832	31795	25459
833	31833	25421
834	31866	25379
835	31904	25340
836	31940	25300
837	31986	25268
838	32034	25238
839	32075	25201
840	32109	25160
841	32146	25121
842	32178	25078
843	32212	25037
844	32246	24995
845	32284	24957
846	32321	24918
847	32357	24878
848	32391	24837
849	32429	24799
850	32466	24760
851	32504	24721
852	32541	24682
853	32578	24644
854	32614	24604
855	32653	24566
856	32689	24527
857	32725	24487
858	32763	24448
859	32801	24410
860	32835	24368
861	32872	24330
862	32907	24290
863	32942	24249
864	32981	24211
865	33020	24174
866	33054	24133
867	33089	24093
868	33122	24051
869	33159	24012
870	33198	23974
871	33245	23942
872	33283	23904
873	33318	23864
874	33353	23823
875	33385	23781
876	33426	23745
877	33465	23707
878	33500	23667
879	33538	23629
880	33581	23594
881	33623	23559
882	33660	23520
883	33699	23483
884	33731	23440
885	33769	23402
886	33807	23363
887	33841	23323
888	33873	23281
889	33909	23241
890	33946	23202
891	33981	23162
892	34017	23122
893	34055	23084
894	34091	23045
895	34124	23003
896	34162	22965
897	34197	22925
898	34233	22885
899	34270	22846
900	34304	22806
901	34337	22765
902	34372	22724
903	34407	22684
904	34442	22644
905	34476	22604
906	34513	22564
907	34548	22525
908	34586	22487
909	34624	22449
910	34659	22408
911	34695	22369
912	34730	22329
913	34765	22289
914	34805	22252
915	34840	22213
916	34877	22173
917	34911	22133
918	34950	22095
919	34991	22059
920	35030	22022
921	35071	21986
922	35114	21951
923	35151	21912
924	35187	21873
925	35229	21837
926	35265	21798
927	35301	21759
928	35339	21720
929	35374	21681
930	35408	21640
931	35443	21601
932	35478	21560
933	35516	21523
934	35555	21485
935	35598	21450
936	35633	21410
937	35690	21383
938	35740	21352
939	35774	21312
940	35815	21276
941	35853	21238
942	35889	21198
943	35922	21157
944	35957	21118
945	35992	21077
946	36026	21037
947	36063	20998
948	36101	20960
949	36134	20920
950	36167	20879
951	36202	20839
952	36238	20799
953	36277	20762
954	36315	20724
955	36347	20683
956	36379	20641
957	36416	20602
958	36452	20563
959	36485	20522
960	36527	20487
961	36565	20449
962	36609	20414
963	36648	20377
964	36684	20338
965	36720	20299
966	36758	20261
